campaign_id,target,budget,start_month,end_month,start_week,end_week,days,region,category
1,4080000,20400,9,11,39,47,57,germany,other
2,3660000,18300,12,5,49,19,154,austria,conference
3,2180000,10900,5,6,19,24,33,switzerland,festival
4,2140000,10700,3,6,9,25,110,germany,conference
5,2120000,10600,5,8,20,35,473,germany,comedy
6,1660000,8300,6,8,25,31,42,germany,other
7,1620000,8100,2,12,5,53,333,germany,concert
8,1340000,6700,12,8,48,32,251,germany,festival
9,1300000,6500,5,7,19,28,64,germany,sports
10,1240000,6200,4,5,13,21,55,germany,conference
11,1220000,6100,7,8,29,31,14,germany,sport
12,1120000,5600,10,12,40,53,91,uk,conference
13,820000,4100,3,5,9,21,87,germany,festival
14,800000,4000,6,9,25,36,80,germany,conference
15,760000,3800,7,8,29,31,14,europe,concert
16,740000,3700,4,6,15,25,72,germany,conference
17,720000,3600,1,10,5,44,274,germany,conference
18,720000,3600,2,3,7,13,44,germany,conference
19,680000,3400,11,11,46,47,12,germany,conference
20,680000,3400,2,5,5,19,95,germany,festival
21,660000,3300,1,5,4,19,107,germany,concert
22,620000,3100,5,8,20,34,93,germany,festival
23,620000,3100,1,3,1,9,56,europe,conference
24,520000,2600,10,1,42,3,88,switzerland,concert
25,500000,2500,5,10,19,40,147,switzerland,theatre
26,500000,2500,9,11,36,45,58,germany,concert
27,500000,2500,2,3,5,10,35,germany,conference
28,480000,2400,7,2,28,6,214,germany,concert
29,480000,2400,5,7,21,31,68,germany,concert
30,460000,2300,11,12,44,48,31,germany,conference
31,460000,2300,12,5,50,19,145,germany,festival
32,440000,2200,4,10,17,43,178,germany,concert
33,440000,2200,11,1,46,5,77,germany,concert
34,420000,2100,10,10,42,43,11,germany,conference
35,400000,2000,3,5,9,21,83,switzerland,theatre
36,400000,2000,4,6,14,22,59,switzerland,theatre
37,400000,2000,11,2,48,5,67,switzerland,theatre
38,400000,2000,5,6,19,23,27,switzerland,theatre
39,400000,2000,8,4,34,15,238,germany,comedy
40,400000,2000,5,7,20,31,72,germany,other
41,400000,2000,6,9,26,39,88,germany,concert
42,380000,1900,6,8,22,35,91,germany,conference
43,380000,1900,12,2,51,5,43,germany,concert
44,380000,1900,9,10,38,42,25,germany,other
45,360000,1800,8,12,31,49,125,germany,concert
46,360000,1800,3,4,10,17,53,switzerland,theatre
47,340000,1700,4,6,17,25,57,switzerland,theatre
48,340000,1700,3,4,11,14,22,switzerland,concert
49,340000,1700,5,7,21,31,70,germany,concert
50,320000,1600,10,11,40,46,45,switzerland,comedy
51,320000,1600,1,2,3,6,22,germany,conference
52,320000,1600,6,9,26,36,73,germany,concert
53,300000,1500,12,6,50,23,178,switzerland,theatre
54,300000,1500,6,7,26,27,12,switzerland,concert
55,300000,1500,2,3,8,13,32,switzerland,theatre
56,300000,1500,12,12,51,52,7,germany,conference
57,300000,1500,11,3,46,10,114,germany,other
58,280000,1400,6,7,23,28,35,germany,other
59,280000,1400,3,3,12,13,8,germany,concert
60,280000,1400,2,3,6,12,42,switzerland,concert
61,260000,1300,9,12,35,51,113,switzerland,theatre
62,260000,1300,5,6,20,22,12,europe,other
63,260000,1300,12,10,49,41,312,germany,conference
64,240000,1200,4,8,16,33,123,germany,festival
65,240000,1200,3,4,11,16,33,usa,theatre
66,240000,1200,9,11,35,47,79,switzerland,theatre
67,240000,1200,4,4,14,16,14,germany,concert
68,240000,1200,11,1,47,4,65,switzerland,theatre
69,240000,1200,3,5,9,18,59,germany,conference
70,240000,1200,10,11,43,46,18,germany,conference
71,220000,1100,4,5,18,18,6,germany,other
72,220000,1100,4,5,18,18,6,germany,other
73,220000,1100,11,6,48,26,214,switzerland,concert
74,220000,1100,1,3,5,10,37,switzerland,concert
75,220000,1100,5,10,18,44,183,germany,other
76,220000,1100,10,12,40,48,56,germany,concert
77,220000,1100,3,4,10,17,46,germany,conference
78,220000,1100,7,12,29,51,154,germany,concert
79,200000,1000,4,5,18,18,6,germany,other
80,200000,1000,1,3,4,12,57,switzerland,theatre
81,200000,1000,4,5,16,21,36,switzerland,theatre
82,200000,1000,4,9,17,39,154,switzerland,theatre
83,200000,1000,7,7,27,31,25,germany,festival
84,200000,1000,11,3,44,11,137,switzerland,other
85,180000,900,1,2,4,6,14,switzerland,concert
86,180000,900,11,11,44,47,17,germany,conference
87,180000,900,11,11,44,47,17,germany,conference
88,180000,900,4,9,17,36,133,switzerland,theatre
89,180000,900,2,2,6,9,23,germany,theatre
90,180000,900,9,10,37,41,29,switzerland,comedy
91,180000,900,9,10,38,43,39,switzerland,concert
92,180000,900,11,3,44,11,133,world,concert
93,160000,800,4,5,18,18,6,germany,other
94,160000,800,4,5,18,18,6,germany,other
95,160000,800,6,6,23,24,13,germany,conference
96,160000,800,4,4,13,15,14,germany,concert
97,160000,800,12,12,49,51,17,germany,concert
98,160000,800,11,12,46,50,30,switzerland,concert
99,160000,800,10,12,43,52,59,switzerland,comedy
100,160000,800,11,1,44,1,65,switzerland,theatre
101,160000,800,1,5,4,21,121,germany,sports
102,160000,800,8,10,34,41,50,germany,concert
103,160000,800,6,11,26,48,152,switzerland,concert
104,140000,700,10,12,43,48,39,switzerland,concert
105,140000,700,6,7,26,28,13,germany,festival
