campaign_id,channel
1,instagram
2,facebook
2,instagram
2,google_search
2,google_display
3,facebook
3,instagram
3,google_search
3,google_display
4,facebook
4,instagram
4,google_search
4,google_display
5,facebook
5,instagram
5,google_search
6,facebook
6,instagram
6,google_search
6,google_display
7,facebook
7,instagram
7,google_search
7,google_display
8,facebook
8,instagram
8,google_search
9,facebook
9,instagram
9,google_search
10,facebook
10,instagram
10,google_search
11,facebook
11,instagram
11,google_search
12,facebook
12,instagram
12,google_search
12,google_display
13,facebook
13,instagram
13,google_search
14,facebook
14,instagram
14,google_search
15,facebook
15,instagram
15,google_search
16,facebook
16,instagram
16,google_search
17,facebook
17,instagram
17,google_search
18,facebook
18,instagram
18,google_search
19,facebook
19,google_search
20,facebook
20,instagram
20,google_search
21,facebook
21,instagram
21,google_search
21,google_display
22,facebook
22,instagram
22,google_search
23,facebook
23,instagram
23,google_search
24,facebook
24,instagram
24,google_search
25,facebook
25,instagram
25,google_search
25,google_display
26,facebook
26,instagram
26,google_search
27,facebook
27,instagram
27,google_search
28,facebook
28,instagram
28,google_search
29,facebook
29,instagram
29,google_search
30,facebook
31,facebook
31,instagram
31,google_search
32,facebook
32,instagram
32,google_search
33,facebook
33,instagram
33,google_search
34,facebook
34,instagram
34,google_search
35,facebook
35,instagram
35,google_search
36,facebook
36,instagram
36,google_search
36,google_display
37,facebook
37,instagram
37,google_search
38,facebook
38,instagram
38,google_search
39,facebook
39,instagram
39,google_search
40,facebook
40,instagram
40,google_search
41,facebook
41,instagram
41,google_search
42,facebook
42,instagram
42,google_search
43,facebook
43,instagram
43,google_search
44,facebook
44,instagram
44,google_search
45,facebook
45,instagram
45,google_search
46,facebook
46,google_search
46,google_display
47,facebook
47,google_search
48,facebook
48,instagram
48,google_search
49,facebook
49,instagram
49,google_search
50,facebook
50,instagram
50,google_search
51,facebook
51,instagram
51,google_search
52,facebook
52,instagram
52,google_search
53,facebook
53,instagram
53,google_search
54,facebook
54,instagram
54,google_search
55,facebook
55,instagram
55,google_search
56,facebook
56,google_search
57,facebook
57,instagram
57,google_search
58,facebook
58,instagram
58,google_search
59,facebook
59,instagram
60,facebook
60,instagram
60,google_search
61,facebook
61,instagram
61,google_search
62,instagram
63,google_search
64,facebook
64,instagram
64,google_search
65,facebook
65,instagram
65,google_search
66,facebook
66,instagram
66,google_search
67,facebook
67,instagram
68,facebook
68,instagram
69,facebook
69,instagram
69,google_search
70,facebook
70,instagram
70,google_search
71,facebook
72,facebook
73,facebook
73,instagram
74,facebook
74,instagram
74,google_search
75,facebook
75,instagram
75,google_search
76,facebook
76,instagram
76,google_search
77,facebook
77,instagram
77,google_search
78,facebook
78,instagram
78,google_search
79,facebook
80,facebook
80,instagram
80,google_search
81,facebook
81,instagram
82,facebook
82,instagram
83,facebook
