campaign_id,snapshot_number,days_after_start,impressions
1,1,14,5929169.0
1,2,28,7375002.0
1,3,43,9122437.0
1,4,57,14006646.0
2,1,38,1852771.0
2,2,77,2528042.0
2,3,116,3136229.0
2,4,154,5198005.0
3,1,8,851049.0
3,2,16,1185091.0
3,3,25,1593937.0
3,4,33,8407989.0
4,1,28,1009261.0
4,2,55,1342038.0
4,3,82,1715259.0
4,4,110,4308892.0
5,1,118,943431.0
5,2,236,1235086.0
5,3,355,1665276.0
5,4,473,1954016.0
6,1,10,1032331.0
6,2,21,1469218.0
6,3,32,1770100.0
6,4,42,3644316.0
7,1,83,533821.0
7,2,166,719631.0
7,3,250,854862.0
7,4,333,1434627.0
8,1,63,615233.0
8,2,126,718813.0
8,3,188,735670.0
8,4,251,1437788.0
9,1,16,709383.0
9,2,32,940078.0
9,3,48,1166788.0
9,4,64,2860529.0
10,1,14,355469.0
10,2,28,421666.0
10,3,41,668261.0
10,4,55,2852708.0
11,1,4,1183622.0
11,2,7,1619096.0
11,3,10,2264678.0
11,4,14,4743729.0
12,1,23,1172865.0
12,2,46,1382985.0
12,3,68,1708599.0
12,4,91,2422695.0
13,1,22,350542.0
13,2,44,440218.0
13,3,65,552629.0
13,4,87,829970.0
14,1,20,114084.0
14,2,40,258409.0
14,3,60,537720.0
14,4,80,723928.0
15,1,4,1015726.0
15,2,7,1436197.0
15,3,10,1661975.0
15,4,14,3132249.0
16,1,18,394153.0
16,2,36,505046.0
16,3,54,623183.0
16,4,72,1096893.0
17,1,68,88376.0
17,2,137,374338.0
17,3,206,506909.0
17,4,274,595290.0
18,1,11,399621.0
18,2,22,565753.0
18,3,33,729226.0
18,4,44,1348259.0
19,1,3,406585.0
19,2,6,635585.0
19,3,9,876249.0
19,4,12,2076732.0
20,1,24,139139.0
20,2,48,244674.0
20,3,71,450074.0
20,4,95,783036.0
21,1,27,350253.0
21,2,54,408599.0
21,3,80,
21,4,107,933853.0
22,1,23,284673.0
22,2,46,315748.0
22,3,70,318322.0
22,4,93,721365.0
23,1,14,353721.0
23,2,28,355995.0
23,3,42,415932.0
23,4,56,787417.0
24,1,22,260086.0
24,2,44,375442.0
24,3,66,405990.0
24,4,88,532025.0
25,1,37,100424.0
25,2,74,210467.0
25,3,110,260653.0
25,4,147,294111.0
26,1,14,167950.0
26,2,29,313021.0
26,3,44,373727.0
26,4,58,573328.0
27,1,9,371426.0
27,2,18,464490.0
27,3,26,528693.0
27,4,35,879371.0
28,1,54,104419.0
28,2,107,150445.0
28,3,160,236115.0
28,4,214,293228.0
29,1,17,109923.0
29,2,34,279835.0
29,3,51,311511.0
29,4,68,460167.0
30,1,8,299872.0
30,2,16,346667.0
30,3,23,391000.0
30,4,31,670432.0
31,1,36,220433.0
31,2,72,247774.0
31,3,109,278019.0
31,4,145,453621.0
32,1,44,86983.0
32,2,89,137083.0
32,3,134,198136.0
32,4,178,273814.0
33,1,19,108112.0
33,2,38,
33,3,58,282898.0
33,4,77,314462.0
34,1,3,374044.0
34,2,6,528716.0
34,3,8,699073.0
34,4,11,1333374.0
35,1,21,64109.0
35,2,42,204274.0
35,3,62,240948.0
35,4,83,297717.0
36,1,15,110997.0
36,2,30,243508.0
36,3,44,296512.0
36,4,59,331848.0
37,1,17,164722.0
37,2,34,223783.0
37,3,50,251286.0
37,4,67,398303.0
38,1,7,52517.0
38,2,14,158547.0
