target,budget,start_month,end_month,start_week,end_week,days,region,category,impressions_s1,impressions_s2,impressions_s3,days_after_start_s1,days_after_start_s2,days_after_start_s3,days_after_start_s4,facebook,google_display,google_search,instagram,needs_intervention
4080000,20400,9,11,39,47,57,germany,other,5929169.0,7375002.0,9122437.0,14,28,43,57,0,0,0,1,0
3660000,18300,12,5,49,19,154,austria,conference,1852771.0,2528042.0,3136229.0,38,77,116,154,1,1,1,1,0
2180000,10900,5,6,19,24,33,switzerland,festival,851049.0,1185091.0,1593937.0,8,16,25,33,1,1,1,1,0
2140000,10700,3,6,9,25,110,germany,conference,1009261.0,1342038.0,1715259.0,28,55,82,110,1,1,1,1,0
2120000,10600,5,8,20,35,473,germany,comedy,943431.0,1235086.0,1665276.0,118,236,355,473,1,0,1,1,0
1660000,8300,6,8,25,31,42,germany,other,1032331.0,1469218.0,1770100.0,10,21,32,42,1,1,1,1,0
1620000,8100,2,12,5,53,333,germany,concert,533821.0,719631.0,854862.0,83,166,250,333,1,1,1,1,1
1340000,6700,12,8,48,32,251,germany,festival,615233.0,718813.0,735670.0,63,126,188,251,1,0,1,1,0
1300000,6500,5,7,19,28,64,germany,sports,709383.0,940078.0,1166788.0,16,32,48,64,1,0,1,1,0
1240000,6200,4,5,13,21,55,germany,conference,355469.0,421666.0,668261.0,14,28,41,55,1,0,1,1,0
1220000,6100,7,8,29,31,14,germany,sport,1183622.0,1619096.0,2264678.0,4,7,10,14,1,0,1,1,0
1120000,5600,10,12,40,53,91,uk,conference,1172865.0,1382985.0,1708599.0,23,46,68,91,1,1,1,1,0
820000,4100,3,5,9,21,87,germany,festival,350542.0,440218.0,552629.0,22,44,65,87,1,0,1,1,0
800000,4000,6,9,25,36,80,germany,conference,114084.0,258409.0,537720.0,20,40,60,80,1,0,1,1,0
760000,3800,7,8,29,31,14,europe,concert,1015726.0,1436197.0,1661975.0,4,7,10,14,1,0,1,1,0
740000,3700,4,6,15,25,72,germany,conference,394153.0,505046.0,623183.0,18,36,54,72,1,0,1,1,0
720000,3600,1,10,5,44,274,germany,conference,88376.0,374338.0,506909.0,68,137,206,274,1,0,1,1,1
720000,3600,2,3,7,13,44,germany,conference,399621.0,565753.0,729226.0,11,22,33,44,1,0,1,1,0
680000,3400,11,11,46,47,12,germany,conference,406585.0,635585.0,876249.0,3,6,9,12,1,0,1,0,0
680000,3400,2,5,5,19,95,germany,festival,139139.0,244674.0,450074.0,24,48,71,95,1,0,1,1,0
660000,3300,1,5,4,19,107,germany,concert,350253.0,408599.0,,27,54,80,107,1,1,1,1,0
620000,3100,5,8,20,34,93,germany,festival,284673.0,315748.0,318322.0,23,46,70,93,1,0,1,1,0
620000,3100,1,3,1,9,56,europe,conference,353721.0,355995.0,415932.0,14,28,42,56,1,0,1,1,0
520000,2600,10,1,42,3,88,switzerland,concert,260086.0,375442.0,405990.0,22,44,66,88,1,0,1,1,0
500000,2500,5,10,19,40,147,switzerland,theatre,100424.0,210467.0,260653.0,37,74,110,147,1,1,1,1,1
500000,2500,9,11,36,45,58,germany,concert,167950.0,313021.0,373727.0,14,29,44,58,1,0,1,1,0
500000,2500,2,3,5,10,35,germany,conference,371426.0,464490.0,528693.0,9,18,26,35,1,0,1,1,0
480000,2400,7,2,28,6,214,germany,concert,104419.0,150445.0,236115.0,54,107,160,214,1,0,1,1,1
480000,2400,5,7,21,31,68,germany,concert,109923.0,279835.0,311511.0,17,34,51,68,1,0,1,1,0
460000,2300,11,12,44,48,31,germany,conference,299872.0,346667.0,391000.0,8,16,23,31,1,0,0,0,0
460000,2300,12,5,50,19,145,germany,festival,220433.0,247774.0,278019.0,36,72,109,145,1,0,1,1,0
440000,2200,4,10,17,43,178,germany,concert,86983.0,137083.0,198136.0,44,89,134,178,1,0,1,1,1
440000,2200,11,1,46,5,77,germany,concert,108112.0,,282898.0,19,38,58,77,1,0,1,1,1
420000,2100,10,10,42,43,11,germany,conference,374044.0,528716.0,699073.0,3,6,8,11,1,0,1,1,0
400000,2000,3,5,9,21,83,switzerland,theatre,64109.0,204274.0,240948.0,21,42,62,83,1,0,1,1,1
400000,2000,4,6,14,22,59,switzerland,theatre,110997.0,243508.0,296512.0,15,30,44,59,1,1,1,1,1
400000,2000,11,2,48,5,67,switzerland,theatre,164722.0,223783.0,251286.0,17,34,50,67,1,0,1,1,0
400000,2000,5,6,19,23,27,switzerland,theatre,52517.0,158547.0,226585.0,7,14,20,27,1,0,1,1,0
400000,2000,8,4,34,15,238,germany,comedy,225509.0,263235.0,279029.0,60,119,178,238,1,0,1,1,0
400000,2000,5,7,20,31,72,germany,other,151069.0,227752.0,251955.0,18,36,54,72,1,0,1,1,0
400000,2000,6,9,26,39,88,germany,concert,202318.0,241843.0,253947.0,22,44,66,88,1,0,1,1,0
380000,1900,6,8,22,35,91,germany,conference,59414.0,207194.0,256229.0,23,46,68,91,1,0,1,1,1
380000,1900,12,2,51,5,43,germany,concert,193344.0,225741.0,258834.0,11,22,32,43,1,0,1,1,0
380000,1900,9,10,38,42,25,germany,other,153549.0,179744.0,257484.0,6,12,19,25,1,0,1,1,0
360000,1800,8,12,31,49,125,germany,concert,95252.0,160977.0,187267.0,31,62,94,125,1,0,1,1,1
360000,1800,3,4,10,17,53,switzerland,theatre,128559.0,201766.0,238305.0,13,26,40,53,1,1,1,0,0
340000,1700,4,6,17,25,57,switzerland,theatre,76433.0,106430.0,216985.0,14,28,43,57,1,0,1,0,1
340000,1700,3,4,11,14,22,switzerland,concert,103685.0,164102.0,206133.0,6,11,16,22,1,0,1,1,0
340000,1700,5,7,21,31,70,germany,concert,156208.0,237105.0,266023.0,18,35,52,70,1,0,1,1,0
320000,1600,10,11,40,46,45,switzerland,comedy,101470.0,119352.0,177554.0,11,22,34,45,1,0,1,1,1
